,script,0000.txt,0001.txt,0002.txt,0003.txt,0004.txt,0005.txt,0006.txt,0007.txt,0008.txt,0009.txt,0010.txt,0011.txt,0012.txt,0013.txt,0014.txt,0015.txt,0016.txt,0017.txt,0018.txt,0019.txt,0020.txt,0021.txt,0022.txt,0023.txt,0024.txt,0025.txt,0026.txt,0027.txt,0028.txt,0029.txt,0030.txt,0031.txt,0032.txt,0033.txt,0034.txt,0035.txt,0036.txt,0037.txt,0038.txt,0039.txt,0040.txt,0041.txt,0042.txt,0043.txt,0044.txt,0045.txt,0046.txt,0047.txt,0048.txt,0049.txt,0050.txt,0051.txt,0052.txt,0053.txt,0054.txt,0055.txt,0056.txt,0057.txt,0058.txt,0059.txt,0060.txt,0061.txt,0062.txt,0063.txt,0064.txt,0065.txt,0066.txt,0067.txt,0068.txt,0069.txt,0070.txt,0071.txt,0072.txt,0073.txt,0074.txt,0075.txt,0076.txt,0077.txt,0078.txt,0079.txt,0080.txt,0081.txt,0082.txt,0083.txt,0084.txt,0085.txt,0086.txt,0087.txt,0088.txt,0089.txt,0090.txt,0091.txt,0092.txt,0093.txt,0094.txt,0095.txt,0096.txt,0097.txt,0098.txt,0099.txt
001_random.py,,6038.0,7728.0,7924.0,8044.0,7557.0,6929.0,8237.0,6406.0,7070.0,9169.0,6492.0,6980.0,6154.0,6431.0,6853.0,6034.0,8614.0,6607.0,6516.0,7978.0,6078.0,7360.0,7405.0,6596.0,6681.0,7376.0,6600.0,7179.0,6777.0,6599.0,6188.0,7757.0,7432.0,7435.0,7003.0,6904.0,7188.0,6733.0,6463.0,7034.0,7180.0,8940.0,6700.0,7072.0,7714.0,6464.0,7144.0,8117.0,8189.0,6015.0,7492.0,7047.0,6300.0,7834.0,6440.0,7693.0,7847.0,6179.0,8975.0,7657.0,7355.0,6758.0,6750.0,7485.0,6718.0,5898.0,6470.0,6318.0,6835.0,7168.0,6804.0,7044.0,6085.0,8830.0,5898.0,8156.0,8203.0,8008.0,6265.0,6024.0,6267.0,8079.0,6882.0,7965.0,6592.0,6511.0,6146.0,6457.0,6650.0,6341.0,7139.0,6629.0,7791.0,9916.0,6334.0,7176.0,7097.0,7558.0,7813.0,7759.0
002_simple_search_A.py,,5010.0,5081.0,5488.0,5992.0,5446.0,5371.0,5717.0,5171.0,5606.0,6427.0,4803.0,5257.0,4645.0,4877.0,5244.0,5044.0,5887.0,5443.0,5249.0,5771.0,4725.0,5639.0,6018.0,5130.0,5053.0,5423.0,4596.0,5003.0,5126.0,5087.0,4673.0,5867.0,5965.0,5710.0,4981.0,5455.0,5195.0,5067.0,5508.0,5470.0,5324.0,5923.0,5274.0,5419.0,5823.0,4784.0,5108.0,6140.0,5685.0,4540.0,5927.0,5662.0,5181.0,5561.0,5017.0,5560.0,5034.0,4989.0,5804.0,6042.0,5493.0,5592.0,5324.0,5341.0,5390.0,4574.0,4766.0,4462.0,5643.0,5012.0,5312.0,5773.0,4700.0,5605.0,4671.0,5448.0,5993.0,5914.0,4581.0,4608.0,4873.0,5477.0,5135.0,5767.0,5197.0,4853.0,4961.0,5043.0,5244.0,5013.0,5184.0,5326.0,5137.0,6835.0,4950.0,5219.0,5071.0,5433.0,5412.0,5424.0
003_bfs_generation_A.py,,5430.0,6928.0,6955.0,7570.0,7264.0,5937.0,7745.0,5420.0,6579.0,8735.0,5453.0,6098.0,5205.0,5333.0,5922.0,5542.0,7810.0,6002.0,5237.0,6873.0,5074.0,6226.0,6809.0,5336.0,5834.0,6575.0,5510.0,5985.0,5427.0,5667.0,5332.0,7260.0,6816.0,6867.0,5903.0,5795.0,6469.0,5954.0,5849.0,6425.0,6312.0,8489.0,5597.0,6748.0,7227.0,5523.0,6448.0,7532.0,7383.0,5082.0,6681.0,6380.0,5342.0,7000.0,5463.0,7247.0,7215.0,4982.0,8283.0,7155.0,6652.0,6022.0,6177.0,6782.0,5550.0,5126.0,5463.0,5576.0,6234.0,6412.0,6431.0,6330.0,5106.0,8065.0,4867.0,7550.0,7758.0,7355.0,5369.0,4905.0,5409.0,7159.0,5746.0,7338.0,5693.0,5719.0,5178.0,5301.0,5624.0,5214.0,6377.0,5221.0,7159.0,9727.0,5130.0,6348.0,6268.0,6782.0,7249.0,7189.0
004_003_search_path.py,,5037.0,5978.0,5646.0,6745.0,6683.0,5161.0,6697.0,4861.0,6015.0,8002.0,4739.0,4895.0,4538.0,4295.0,5075.0,5102.0,6723.0,5666.0,4257.0,5889.0,4253.0,5514.0,6380.0,4266.0,4930.0,5214.0,4527.0,4883.0,4269.0,4950.0,4758.0,6698.0,6318.0,6367.0,5040.0,5042.0,5500.0,5309.0,5306.0,5874.0,5372.0,7289.0,5072.0,6285.0,6625.0,4601.0,5610.0,6935.0,5989.0,4296.0,6244.0,5962.0,4790.0,5832.0,4625.0,6354.0,5897.0,4115.0,6765.0,6573.0,5806.0,5545.0,5642.0,5770.0,4664.0,4320.0,4543.0,4828.0,5869.0,5303.0,6046.0,5924.0,4441.0,6659.0,3928.0,6048.0,6829.0,6762.0,4766.0,3864.0,4195.0,5719.0,4612.0,6512.0,5087.0,4879.0,4373.0,4319.0,4723.0,4528.0,5409.0,4357.0,6149.0,9137.0,4185.0,5426.0,5285.0,6114.0,5851.0,6558.0
005_002_search_path.py,,4670.0,4522.0,4555.0,5498.0,5088.0,4784.0,5229.0,4645.0,5266.0,5981.0,4177.0,4280.0,4200.0,4007.0,4658.0,4712.0,5308.0,5169.0,4418.0,5053.0,4081.0,5078.0,5664.0,4172.0,4505.0,4420.0,3899.0,4200.0,4352.0,4530.0,4250.0,5503.0,5581.0,5435.0,4416.0,4832.0,4438.0,4622.0,5128.0,5133.0,4686.0,5364.0,4800.0,5176.0,5466.0,4095.0,4734.0,5739.0,4802.0,3957.0,5575.0,5334.0,4578.0,4746.0,4300.0,4965.0,4371.0,4010.0,5021.0,5624.0,4991.0,5273.0,4972.0,4775.0,4472.0,3851.0,3996.0,4069.0,5347.0,4437.0,4998.0,5498.0,4042.0,4840.0,3757.0,4828.0,5536.0,5452.0,4184.0,3827.0,4035.0,4822.0,4230.0,5329.0,4855.0,4226.0,4320.0,4232.0,4433.0,4477.0,4501.0,4259.0,4612.0,6133.0,4158.0,4703.0,4552.0,5059.0,4518.0,5014.0
006_search_path_dfs_generation_A.py,,4909.0,5053.0,4237.0,5381.0,5628.0,4773.0,5302.0,4551.0,5433.0,5714.0,4277.0,4430.0,4214.0,4037.0,4749.0,4874.0,4948.0,5416.0,4171.0,4718.0,4143.0,4807.0,5703.0,4063.0,4635.0,4225.0,3890.0,4034.0,4018.0,4572.0,4580.0,5483.0,5614.0,5462.0,4506.0,4515.0,4610.0,4959.0,5022.0,5285.0,4723.0,5447.0,4661.0,5511.0,5621.0,3949.0,4806.0,5701.0,4565.0,4131.0,5612.0,5434.0,4552.0,4637.0,4360.0,5113.0,4367.0,3839.0,4868.0,5634.0,4828.0,5258.0,5234.0,4735.0,4409.0,3900.0,3974.0,4340.0,5761.0,4578.0,5473.0,5450.0,4103.0,4874.0,3600.0,4593.0,5276.0,5527.0,4498.0,3676.0,3968.0,4080.0,4004.0,5464.0,4938.0,4441.0,4181.0,4210.0,4152.0,4369.0,4386.0,4026.0,4535.0,6654.0,3897.0,4879.0,4453.0,5013.0,4321.0,5187.0
007_005_add_highway.py,,4670.0,4335.0,4137.0,4844.0,4700.0,4534.0,5229.0,4406.0,4920.0,5156.0,4195.0,4183.0,4154.0,3668.0,4169.0,4389.0,4683.0,5108.0,4212.0,4609.0,3875.0,4689.0,5435.0,4081.0,4203.0,4416.0,3765.0,3916.0,3845.0,4334.0,3996.0,5150.0,5294.0,5075.0,4108.0,4511.0,4034.0,4517.0,4943.0,4737.0,4510.0,4666.0,4652.0,4932.0,5149.0,3996.0,4259.0,5374.0,4155.0,3802.0,5579.0,5249.0,4373.0,4222.0,4059.0,4609.0,4060.0,3746.0,4394.0,5341.0,4529.0,5177.0,4744.0,4396.0,4378.0,3720.0,3806.0,3963.0,5108.0,4208.0,4757.0,5463.0,3872.0,4263.0,3610.0,4244.0,4793.0,5003.0,3943.0,3663.0,3690.0,4737.0,3930.0,4830.0,4573.0,4014.0,4191.0,4003.0,4283.0,4434.0,3996.0,4163.0,4354.0,5878.0,3975.0,4156.0,4205.0,4646.0,4237.0,4752.0
008_006_add_highway.py,,4909.0,4594.0,3855.0,4836.0,5156.0,4519.0,5303.0,4344.0,4937.0,5077.0,4209.0,4107.0,4175.0,3658.0,4368.0,4630.0,4367.0,5141.0,4000.0,4341.0,3914.0,4613.0,5411.0,3903.0,4304.0,4114.0,3612.0,3767.0,3668.0,4372.0,4266.0,4884.0,5243.0,5120.0,4192.0,4402.0,4203.0,4693.0,4815.0,4639.0,4532.0,4981.0,4524.0,5180.0,5307.0,3768.0,4399.0,5333.0,3799.0,3891.0,5648.0,5231.0,4319.0,4246.0,3974.0,4332.0,3765.0,3508.0,4142.0,5146.0,4218.0,5008.0,4956.0,4273.0,4138.0,3754.0,3755.0,4083.0,5527.0,4115.0,5061.0,5403.0,4000.0,4449.0,3507.0,3924.0,4535.0,5033.0,4098.0,3483.0,3685.0,3763.0,3624.0,5015.0,4591.0,4064.0,4033.0,3938.0,3966.0,4396.0,4088.0,3983.0,4180.0,6054.0,3672.0,4248.0,4218.0,4621.0,3884.0,4765.0
009_quotient_graph.py,,3664.0,3889.0,3190.0,4721.0,5441.0,3683.0,3150.0,3573.0,4726.0,5471.0,3067.0,3079.0,3135.0,2593.0,3722.0,4342.0,4446.0,5253.0,3027.0,3708.0,3041.0,3857.0,5863.0,2768.0,3370.0,2594.0,2646.0,3001.0,3014.0,3610.0,3487.0,5021.0,5585.0,4721.0,3346.0,3287.0,3384.0,3927.0,4576.0,4290.0,3349.0,4992.0,3683.0,5020.0,5382.0,3236.0,4082.0,5861.0,3363.0,2773.0,3509.0,4669.0,3443.0,3488.0,3226.0,4443.0,3414.0,2751.0,4050.0,5218.0,4243.0,4697.0,4865.0,3645.0,2764.0,2974.0,3269.0,3375.0,5123.0,3013.0,5209.0,3745.0,2768.0,4064.0,2633.0,3353.0,4708.0,5025.0,3317.0,2430.0,2870.0,3659.0,3019.0,4809.0,3975.0,3299.0,3075.0,2654.0,2950.0,2919.0,3438.0,2594.0,3857.0,6947.0,3026.0,3917.0,3740.0,4373.0,3429.0,4698.0
Untitled-1.ipynb,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010_quotient_graph.py,,3209.0,2884.0,2334.0,3427.0,3699.0,2674.0,2873.0,2687.0,3917.0,3810.0,2891.0,2517.0,2501.0,2688.0,3091.0,3558.0,2546.0,3986.0,2913.0,2337.0,3073.0,2858.0,3980.0,2506.0,2945.0,2044.0,2571.0,2808.0,2751.0,3277.0,2813.0,3608.0,4012.0,3574.0,2529.0,3138.0,2800.0,3359.0,3570.0,3398.0,2704.0,3569.0,3184.0,3956.0,3742.0,2608.0,2898.0,3959.0,2261.0,2812.0,3538.0,3555.0,2859.0,2632.0,2969.0,3269.0,2450.0,2593.0,2511.0,3635.0,3151.0,3537.0,3750.0,2659.0,2642.0,2629.0,2596.0,2845.0,3905.0,2590.0,3917.0,3350.0,2624.0,2979.0,2646.0,2540.0,3383.0,3776.0,2792.0,2442.0,2590.0,2577.0,2366.0,3236.0,3363.0,2863.0,2817.0,2949.0,2390.0,2628.0,2753.0,2778.0,2695.0,5039.0,2948.0,3367.0,2968.0,3344.0,2329.0,3548.0
011_simulated_anealing.py,,3210.0,2874.0,2337.0,3430.0,3695.0,2678.0,2873.0,2688.0,3913.0,3810.0,2891.0,2508.0,2500.0,2684.0,3093.0,3560.0,2547.0,3988.0,2911.0,2334.0,3073.0,2861.0,3984.0,2506.0,2945.0,2039.0,2572.0,2807.0,2748.0,3277.0,2814.0,3608.0,4006.0,3567.0,2532.0,3135.0,2795.0,3357.0,3571.0,3398.0,2705.0,3561.0,3184.0,3953.0,3741.0,2608.0,2898.0,3958.0,2262.0,2812.0,3535.0,3555.0,2861.0,2636.0,2968.0,3266.0,2459.0,2593.0,2513.0,3632.0,3157.0,3537.0,3750.0,2661.0,2643.0,2629.0,2595.0,2846.0,3905.0,2594.0,3913.0,3355.0,2624.0,2980.0,0.0,2543.0,3382.0,3775.0,2790.0,2445.0,2586.0,2577.0,2362.0,3233.0,3366.0,2865.0,2816.0,2950.0,2398.0,2628.0,2755.0,2779.0,2689.0,5038.0,2953.0,3360.0,2970.0,3344.0,2325.0,3548.0
012_simulated_anealing.py,,3209.0,2684.0,2228.0,3287.0,3644.0,2660.0,2864.0,2686.0,3648.0,3710.0,2473.0,2213.0,2443.0,2048.0,2715.0,3512.0,2506.0,3817.0,2514.0,2175.0,2657.0,2555.0,3879.0,2123.0,2643.0,2047.0,1931.0,2033.0,1983.0,2866.0,2774.0,3519.0,3951.0,3432.0,2369.0,2724.0,2562.0,3078.0,3412.0,3262.0,2403.0,3264.0,2861.0,3852.0,3616.0,2174.0,2857.0,3785.0,2218.0,2290.0,3533.0,3517.0,2795.0,2261.0,2476.0,3207.0,2190.0,2024.0,2509.0,3603.0,2871.0,3391.0,3670.0,2373.0,2512.0,2366.0,2261.0,2485.0,3847.0,2522.0,3788.0,3346.0,2515.0,2577.0,2168.0,2415.0,3246.0,3553.0,2605.0,2276.0,2215.0,2174.0,2033.0,3178.0,3101.0,2550.0,2423.0,2543.0,2087.0,2630.0,2431.0,2135.0,2385.0,4977.0,2022.0,2990.0,2683.0,2998.0,2102.0,3369.0
